pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
38137,0,8069282,26615394,38143954,11528560,3686741
38138,1,17142757,39938875,47625606,7686731,1874510
38140,2,27973311,50294660,68210066,17915406,4982875
38141,3,35279776,71773368,88502589,16729221,3156272
38143,4,42847827,92242729,102297638,10054909,3820489
38145,5,53015472,104153461,119621907,15468446,3559242
38146,6,66345760,122506911,138620970,16114059,2608430
38147,7,70890447,142398824,147091879,4693055,1759282
38148,8,82970524,149603371,162976300,13372929,4303811
38150,9,101203618,166514180,176418511,9904331,4050021
38151,10,108671556,180010029,191601446,11591417,3691004
