pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
38368,7,35128003,57841709,65824846,7983137,3766285
38362,1,40094836,86687554,99916050,13228496,3766285
38363,2,49721199,102991860,121873869,18882009,3766285
38364,3,50851231,128977286,141875573,12898287,3766285
38367,6,51594342,144876513,151139041,6262528,3766285
38365,4,55864158,152892057,159296223,6404166,3766285
38366,5,61657632,163284719,172995450,9710731,3766285
38369,8,62041759,176337495,189663770,13326275,3766285
38370,9,63654813,195743313,201879009,6135696,3766285
38361,0,35419661,69309088,207176889,137867801,3766285
38371,10,107766565,208663112,209827506,1164394,3766285
