pid,child_index,start_ns,end_ns,duration_ns,work_iters
9606,0,15825475,19453031,3627556,3686741
9607,1,23273907,25090619,1816712,1874510
9608,2,28181794,32479547,4297753,4982875
9609,3,32885744,35000817,2115073,3156272
9610,4,36911954,41241554,4329600,3820489
9611,5,44761555,47013237,2251682,3559242
9612,6,47760539,50006076,2245537,2608430
9613,7,50570393,51967498,1397105,1759282
9614,8,56945505,60613569,3668064,4303811
9615,9,82121889,84962753,2840864,4050021
9616,10,85598588,88643947,3045359,3691004
