pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
4696,3,62643030,141259574,141283041,23467,10000
4696,3,62643030,141294774,141316006,21232,10000
4696,3,62643030,141328018,141349529,21511,10000
4696,3,62643030,141360983,141382215,21232,10000
4696,3,62643030,141393948,141415180,21232,10000
4696,3,62643030,141426914,141448145,21231,10000
4696,3,62643030,141459879,141481110,21231,10000
4696,3,62643030,141492564,141514075,21511,10000
4696,3,62643030,141525809,141547041,21232,10000
4696,3,62643030,141558495,141579447,20952,10000
4696,3,62643030,141591180,141612133,20953,10000
4696,3,62643030,141623866,141645098,21232,10000
4696,3,62643030,141656831,141678063,21232,10000
4696,3,62643030,141689517,141710749,21232,10000
4696,3,62643030,141722482,141743434,20952,10000
4696,3,62643030,141755168,141776120,20952,10000
4696,3,62643030,141787574,141808806,21232,10000
4696,3,62643030,141820260,141841771,21511,10000
4696,3,62643030,141853504,141944298,90794,10000
4696,3,62643030,141956590,142063307,106717,10000
4696,3,62643030,142075041,142096272,21231,10000
4696,3,62643030,142108006,142129237,21231,10000
4696,3,62643030,142140691,142161923,21232,10000
4696,3,62643030,142173377,142194330,20953,10000
4696,3,62643030,142206063,142227295,21232,10000
4696,3,62643030,142238749,142259980,21231,10000
4696,3,62643030,142271714,142292666,20952,10000
4696,3,62643030,142304120,142327028,22908,10000
4696,3,62643030,143049466,143071815,22349,10000
4696,3,62643030,143083549,143104780,21231,10000
4696,3,62643030,143116234,143137187,20953,10000
4696,3,62643030,143148641,143169314,20673,10000
4696,3,62643030,143180768,143201441,20673,10000
4696,3,62643030,143212895,143233847,20952,10000
4696,3,62643030,143245022,143265974,20952,10000
4696,3,62643030,143277428,143298380,20952,10000
4696,3,62643030,143309555,143330507,20952,10000
4696,3,62643030,143341682,143362634,20952,10000
4696,3,62643030,143374088,143394761,20673,10000
4696,3,62643030,143406215,143427447,21232,10000
4696,3,62643030,143438901,143538914,100013,10000
4696,3,62643030,143550647,143571600,20953,10000
4696,3,62643030,143583054,143604006,20952,10000
4696,3,62643030,143615460,143636133,20673,10000
4696,3,62643030,143647587,143668260,20673,10000
4696,3,62643030,143679714,143700666,20952,10000
4696,3,62643030,143711841,143732793,20952,10000
4696,3,62643030,143744247,143764920,20673,10000
4696,3,62643030,143776374,143797327,20953,10000
4696,3,62643030,143808501,143829733,21232,10000
4696,3,62643030,143840908,143861860,20952,10000
4696,3,62643030,143873034,143893987,20953,10000
4696,3,62643030,143905441,143926393,20952,10000
4696,3,62643030,143937568,143958520,20952,10000
4696,3,62643030,143969974,143990927,20953,10000
4696,3,62643030,144002381,145344730,1342349,10000
4696,3,62643030,145362051,145386914,24863,10000
4696,3,62643030,145398927,145420158,21231,10000
4696,3,62643030,145431892,145453962,22070,10000
4696,3,62643030,145465695,145490559,24864,10000
4696,3,62643030,145502292,145523803,21511,10000
4696,3,62643030,145535816,145557047,21231,10000
4696,3,62643030,145568781,145590012,21231,10000
4696,3,62643030,145601466,145622698,21232,10000
4696,3,62643030,145634432,145655663,21231,10000
4696,3,62643030,145667397,145688628,21231,10000
4696,3,62643030,145700082,145721593,21511,10000
4696,3,62643030,145733886,145759028,25142,10000
4696,3,62643030,145774114,145799257,25143,10000
4696,3,62643030,145814063,145839206,25143,10000
4696,3,62643030,145854292,145879155,24863,10000
4696,3,62643030,145893962,145918546,24584,10000
4696,3,62643030,145933352,145957657,24305,10000
4696,3,62643030,145972184,145996489,24305,10000
4696,3,62643030,146011574,146036717,25143,10000
4696,3,62643030,146052082,146076667,24585,10000
4696,3,62643030,146092311,146117733,25422,10000
4696,3,62643030,146133378,146159079,25701,10000
4696,3,62643030,146173886,146199028,25142,10000
4696,3,62643030,146214394,146239257,24863,10000
4696,3,62643030,146254622,146280603,25981,10000
4696,3,62643030,146295130,146319994,24864,10000
4696,3,62643030,146334241,146357708,23467,10000
4696,3,62643030,146371397,146395981,24584,10000
4696,3,62643030,146410508,146436209,25701,10000
4696,3,62643030,146451016,146475879,24863,10000
4696,3,62643030,146490127,146515549,25422,10000
4696,3,62643030,146530076,146566114,36038,10000
4696,3,62643030,146580921,146606063,25142,10000
4696,3,62643030,146621149,146646571,25422,10000
4696,3,62643030,146662495,146683727,21232,10000
4696,3,62643030,146695740,146716692,20952,10000
4696,3,62643030,146728146,146749657,21511,10000
4696,3,62643030,146761111,146782063,20952,10000
4696,3,62643030,146793517,146814470,20953,10000
4696,3,62643030,146825644,146846876,21232,10000
4696,3,62643030,146858051,146879003,20952,10000
4696,3,62643030,146890457,146911968,21511,10000
4696,3,62643030,146923702,146944933,21231,10000
4696,3,62643030,146956667,146978178,21511,10000
4696,3,62643030,146989911,147011143,21232,10000
4696,3,62643030,147022876,147044387,21511,10000
4696,3,62643030,147056121,147077632,21511,10000
4696,3,62643030,147089086,147110317,21231,10000
4696,3,62643030,147122051,147143562,21511,10000
4696,3,62643030,147155016,147175968,20952,10000
4696,3,62643030,147187422,147208375,20953,10000
4696,3,62643030,147219549,147240502,20953,10000
4696,3,62643030,147251956,147272908,20952,10000
4696,3,62643030,147284362,147305314,20952,10000
4696,3,62643030,147316768,147337441,20673,10000
4696,3,62643030,147348895,147369848,20953,10000
4696,3,62643030,147381302,147401975,20673,10000
4696,3,62643030,147413429,147434381,20952,10000
4696,3,62643030,147445835,147466787,20952,10000
4696,3,62643030,147478241,147499194,20953,10000
4696,3,62643030,147510648,147531600,20952,10000
4696,3,62643030,147543054,147564006,20952,10000
4696,3,62643030,147575181,147596413,21232,10000
4696,3,62643030,147607587,147628540,20953,10000
4696,3,62643030,147639994,147660946,20952,10000
4696,3,62643030,147672400,147693352,20952,10000
4696,3,62643030,147704806,147725479,20673,10000
4696,3,62643030,147736933,147757886,20953,10000
4696,3,62643030,147769340,147790292,20952,10000
4696,3,62643030,147801467,147822419,20952,10000
4696,3,62643030,147833873,147854825,20952,10000
4696,3,62643030,147866000,147886952,20952,10000
4696,3,62643030,147898406,147919359,20953,10000
4696,3,62643030,147930813,147951765,20952,10000
4696,3,62643030,147962940,147983892,20952,10000
4696,3,62643030,147995346,148016299,20953,10000
4696,3,62643030,148027473,148048705,21232,10000
4696,3,62643030,148059879,148080832,20953,10000
4696,3,62643030,148092286,148111283,18997,10000
4696,3,62643030,148207105,148227778,20673,10000
4696,3,62643030,148238953,148259905,20952,10000
4696,3,62643030,148271079,148291753,20674,10000
4696,3,62643030,148303486,148324438,20952,10000
4696,3,62643030,148335892,148357124,21232,10000
4696,3,62643030,148368857,148390089,21232,10000
4696,3,62643030,148401822,148423054,21232,10000
4696,3,62643030,148434787,148456019,21232,10000
4696,3,62643030,148467753,148488984,21231,10000
4696,3,62643030,148500718,148521949,21231,10000
4696,3,62643030,148534241,148556311,22070,10000
4696,3,62643030,148568603,148589835,21232,10000
4696,3,62643030,148601568,148622800,21232,10000
4696,3,62643030,148634534,148656045,21511,10000
4696,3,62643030,148667499,149123422,455923,10000
4696,3,62643030,149307524,149329035,21511,10000
4696,3,62643030,149340489,149361721,21232,10000
4696,3,62643030,149373454,149394686,21232,10000
4696,3,62643030,149406419,149427651,21232,10000
4696,3,62643030,149439384,149460616,21232,10000
4696,3,62643030,149472629,149494140,21511,10000
4696,3,62643030,149505594,149527105,21511,10000
4696,3,62643030,149538559,149560070,21511,10000
4696,3,62643030,149571524,149592756,21232,10000
4696,3,62643030,149604210,149625442,21232,10000
4696,3,62643030,149637454,149658407,20953,10000
4696,3,62643030,149670140,149691372,21232,10000
4696,3,62643030,149703943,149727410,23467,10000
4696,3,62643030,149741657,149765962,24305,10000
4696,3,62643030,149780489,149804794,24305,10000
4696,3,62643030,149819600,149845023,25423,10000
4696,3,62643030,149859829,149886369,26540,10000
4696,3,62643030,149900616,149924362,23746,10000
4696,3,62643030,149938610,149964870,26260,10000
4696,3,62643030,149979118,150003981,24863,10000
4696,3,62643030,150019626,150044210,24584,10000
4696,3,62643030,150059296,150083880,24584,10000
4696,3,62643030,150097848,150122711,24863,10000
4696,3,62643030,150137797,150162381,24584,10000
4696,3,62643030,150177746,150202331,24585,10000
4696,3,62643030,150216578,150240045,23467,10000
4696,3,62643030,150254013,150277759,23746,10000
4696,3,62643030,150293404,150318267,24863,10000
4696,3,62643030,150333073,150359054,25981,10000
4696,3,62643030,150370788,150391740,20952,10000
4696,3,62643030,150402915,150424146,21231,10000
4696,3,62643030,150435880,150457391,21511,10000
4696,3,62643030,150468845,150489797,20952,10000
4696,3,62643030,150501251,150522204,20953,10000
4696,3,62643030,150533378,150554331,20953,10000
4696,3,62643030,150565785,150586737,20952,10000
4696,3,62643030,150598191,150619423,21232,10000
4696,3,62643030,150631156,150652108,20952,10000
4696,3,62643030,150663562,150684515,20953,10000
4696,3,62643030,150695969,150718318,22349,10000
4696,3,62643030,150732286,150754077,21791,10000
4696,3,62643030,150765810,150786762,20952,10000
4696,3,62643030,150798496,150819169,20673,10000
4696,3,62643030,150830902,150852413,21511,10000
4696,3,62643030,150864426,150886496,22070,10000
4696,3,62643030,150901581,150926445,24864,10000
4696,3,62643030,150940972,150965556,24584,10000
4696,3,62643030,150980921,151008020,27099,10000
4696,3,62643030,151022267,151043220,20953,10000
4696,3,62643030,151054674,151075626,20952,10000
4696,3,62643030,151087080,151108032,20952,10000
4696,3,62643030,151119486,151140439,20953,10000
4696,3,62643030,151151613,151172566,20953,10000
4696,3,62643030,151184020,151204972,20952,10000
4696,3,62643030,151216147,151237099,20952,10000
4696,3,62643030,151248553,151269505,20952,10000
4696,3,62643030,151280959,151301912,20953,10000
4696,3,62643030,151313366,151334318,20952,10000
4696,3,62643030,151345493,151366445,20952,10000
4696,3,62643030,151377899,151398851,20952,10000
4696,3,62643030,151410305,151431258,20953,10000
4696,3,62643030,151442712,151463664,20952,10000
4696,3,62643030,151474839,151495791,20952,10000
4696,3,62643030,151507245,151528197,20952,10000
4696,3,62643030,151539651,151560604,20953,10000
4696,3,62643030,151572058,151592731,20673,10000
4696,3,62643030,151604185,151625416,21231,10000
4696,3,62643030,151636870,151657543,20673,10000
4696,3,62643030,151669277,151690229,20952,10000
4696,3,62643030,151701683,151722635,20952,10000
4696,3,62643030,151734089,151755042,20953,10000
4696,3,62643030,151766496,151787448,20952,10000
4696,3,62643030,151798902,151819855,20953,10000
4696,3,62643030,151831309,151851982,20673,10000
4696,3,62643030,151863436,151884388,20952,10000
4696,3,62643030,151895842,151916794,20952,10000
4696,3,62643030,151927969,151948921,20952,10000
4696,3,62643030,151960375,151981328,20953,10000
4696,3,62643030,151992502,152013455,20953,10000
4696,3,62643030,152024909,152045861,20952,10000
4696,3,62643030,152057315,152077988,20673,10000
