pid,child_index,start_ns,end_ns,duration_ns,work_iters
4877,0,1891641535,1891698526,56991,68174
4922,1,3274063323,3274131488,68165,28252
4923,2,3879275159,3879691971,416812,5922
4924,3,5336198315,5337011826,813511,85905
4934,4,7129435444,7129522606,87162,87138
4952,5,8422542529,8422673830,131301,57903
4953,6,9074496059,9074496059,0,13529
4954,7,10069464693,10069705506,240813,91129
4955,8,10499996786,10500023884,27098,8828
4956,9,10677305634,10677375475,69841,28898
pid,child_index,start_ns,end_ns,duration_ns,work_iters
5563,0,1890697281,1893351529,2654248,2768084
5588,1,3281050244,3289435388,8385144,4528138
5589,2,3884369940,3887439883,3069943,2005888
5611,3,5338007483,5339581147,1573664,1285875
5621,4,7132894822,7137356003,4461181,4986990
5627,5,8427885666,8430597183,2711517,3557877
5628,6,9079173469,9083314777,4141308,2413356
5641,7,10077619361,10081348606,3729245,2690982
5642,8,10511944393,10515481715,3537322,2708630
5652,9,10681313126,10683090447,1777321,2528778
5653,10,10937668613,10941347572,3678959,4709604
5654,11,12926325271,12929164459,2839188,2227945
5655,12,14480733443,14485390180,4656737,3737783
5668,13,14943291673,14948060436,4768763,3562589
5678,14,16624454502,16630925436,6470934,3825591
5684,15,17498109115,17499464594,1355479,1971632
5686,16,18810072786,18814315225,4242439,4710842
5699,17,19831321017,19839035685,7714668,3550241
5710,18,21748994632,21753356359,4361727,4500410
5712,19,23114228761,23116252481,2023720,2106312
pid,child_index,start_ns,end_ns,duration_ns,work_iters
6071,0,1890103630,1893312418,3208788,2768084
6079,1,3276894688,3285694690,8800002,4528138
6080,2,3878667260,3881475717,2808457,2005888
6095,3,5342525097,5345134925,2609828,1285875
6114,4,7141462391,7145483852,4021461,4986990
6115,5,8444759319,8449585630,4826311,3557877
