pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
21592,0,4765364749781,8911468,14603253,5691785,3766285
21593,1,4765364824372,16655469,18963304,2307835,3766285
21594,2,4765364893375,19722339,22251432,2529093,3766285
21595,3,4765367193667,22804016,27504613,4700597,3766285
21597,5,4765367710493,28101058,30716474,2615416,3766285
21596,4,4765367768042,31382760,33917160,2534400,3766285
21598,6,4765368829909,34331738,36408538,2076800,3766285
21599,7,4765369353160,36751319,38955230,2203911,3766285
21601,9,4765369645096,39850316,42640056,2789740,3766285
21600,8,4765370814798,43790203,49691511,5901308,3766285
21602,10,4765371914938,50593581,53957417,3363836,3766285
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
21752,2,7491531,7831443,10428421,2596978,3766285
21751,1,7540140,11888942,15970466,4081524,3766285
21750,0,7592102,17034009,20932549,3898540,3766285
21754,4,8041601,21509717,24434391,2924674,3766285
21753,3,8086020,24884727,30067788,5183061,3766285
21755,5,8129601,30712842,33686963,2974121,3766285
21756,6,8791975,34502430,37378215,2875785,3766285
21757,7,9067988,37854253,39917364,2063111,3766285
21758,8,9997156,40347866,43116933,2769067,3766285
21759,9,10342172,43545479,46643079,3097600,3766285
21760,10,10709258,47425581,49984845,2559264,3766285
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
22450,0,8154184,11853182,20172116,8318934,3766285
22451,1,8299733,21118885,25971736,4852851,3766285
22452,2,8439416,26392739,30327597,3934858,3766285
22453,3,8638044,31069870,33137172,2067302,3766285
22456,6,9936254,34333413,36943522,2610109,3766285
22454,4,10235175,37472919,40037490,2564571,3766285
22455,5,10527670,40419103,41900576,1481473,3766285
22457,7,10933587,42248386,45130316,2881930,3766285
22458,8,12509765,46013110,48688031,2674921,3766285
22459,9,13090566,49097022,51912743,2815721,3766285
22460,10,13136661,52263346,55126000,2862654,3766285
pid,child_index,arrive_ns,start_ns,end_ns,duration_ns,work_iters
26295,1,21384357,63965951,76050727,12084776,1874510
26297,3,46639599,95992647,107754756,11762109,3156272
26298,4,55199676,109178121,119921386,10743265,3820489
26294,0,8078501,21106034,125619317,104513283,3686741
26299,5,66436452,128522479,150220489,21698010,3559242
26300,6,71597545,153645784,160300261,6654477,2608430
26301,7,75074498,161662166,165835602,4173436,1759282
26302,8,83285368,168266916,174340034,6073118,4303811
26296,2,39853871,78164683,177079768,98915085,4982875
26303,9,97193052,180037965,182293001,2255036,4050021
26304,10,105800800,184878525,195205815,10327290,3691004
pid,child_index,start_ns,end_ns,duration_ns,work_iters
27106,0,18162923,44140247,25977324,3686741
27107,1,44981415,53444781,8463366,1874510
27109,3,84680316,101370984,16690668,3156272
27110,4,104211290,124902187,20690897,3820489
27111,5,127604766,142598012,14993246,3559242
27113,7,144940768,151507803,6567035,1759282
27112,6,153422293,163919437,10497144,2608430
27114,8,166445177,180287159,13841982,4303811
27108,2,60532554,197432076,136899522,4982875
27115,9,201081422,215599469,14518047,4050021
27116,10,219221717,226950073,7728356,3691004
pid,child_index,start_ns,end_ns,duration_ns,work_iters
27520,0,11705678,30953375,19247697,3686741
27521,1,32794112,40181922,7387810,1874510
27522,2,42819967,94673764,51853797,4982875
27523,3,96759784,111910313,15150529,3156272
27524,4,115676713,129971267,14294554,3820489
27525,5,131688525,146384806,14696281,3559242
27526,6,147988920,160328198,12339278,2608430
27527,7,163205659,171472911,8267252,1759282
27528,8,175332619,191932215,16599596,4303811
27529,9,194906336,215491354,20585018,4050021
27530,10,218292269,234149871,15857602,3691004
pid,child_index,start_ns,end_ns,duration_ns,work_iters
27637,1,39915408,55676070,15760662,1874510
27636,0,59127626,91694894,32567268,3686741
27638,2,95558234,106750159,11191925,4982875
27639,3,108020712,118395773,10375061,3156272
27641,5,150453758,160797531,10343773,3559242
27642,6,163462116,171963475,8501359,2608430
27643,7,174955196,179985165,5029969,1759282
27644,8,182882461,198721066,15838605,4303811
27645,9,199880990,219905602,20024612,4050021
27646,10,222226847,230508346,8281499,3691004
27640,4,119667164,236427534,116760370,3820489
pid,child_index,start_ns,end_ns,duration_ns,work_iters
28185,0,14456306,27294810,12838504,3686741
